Prov,Network,name,District,size,longitude,latitude
VTE,4G,VTE0122_PHONSOMBOUN2,Sikhottabong,7,102.520428,17.994427
HUP,3G,HUP0086_M_XAMTAY,Xam-Tai,9,104.636,19.9986
VTE,4G,VTE0456_NABONG_SC,XAITHANY,7,102.79166,18.12627
XYL,2G,XYL0040_NATAK,Xaiyabouly,3,101.686164,19.319729
HUP,2G,HUP0001_LTC_OFFICE,Xam-Nua,3,104.04754,20.41441
VTE,4G,VTE0312_VIENTIANECENTER_LAMP2,Sisattanak,1,102.618053,17.962632
SVN,4G,SVN0163_BANTHUAD,Champhon,3,105.261818,16.49659
VTE,3G,VTE0321_BANBOUA_NONGSA,Naxaythong,6,102.4852,18.25687
BOK,4G,BOK0102_GAOGUANLOU_BUILDING,Tonpheung,16,100.101082,20.33654
XYL,3G,XYL0062_BUAMLAO,Paklai,7,101.26696,18.13428
VTE,2G,VTE0690_KHOKSAWANG,Pak-Ngum,3,102.855565,18.052476
CHP,3G,CHP0067_HORPHAKYING,PAKXE,4,105.863511,15.092743
HUP,3G,HUP0086_M_XAMTAY,XAMTAI,9,104.636,19.9986
LPB,4G,LPB0196_SAMAKHIXAY,Xiang-Ngeun,6,102.111979,19.455407
CHP,2G,CHP0214_GNOUADENG,Xanasomboun,3,105.79041,15.21013
VTE,3G,VTE0709_NONGPHUVIENG,Pak-Ngum,6,103.03301,18.06155
LNT,2G,LNT0072_PANGTHONG,Sing,3,101.2318,21.19492
VTP,4G,VTP0160_PHONEMEETAI,Viengkham,6,102.4884,18.4682
VTE,4G,VTE0593_KM9_SOMVANG,Hatxayfong,42,102.63772,17.89678
VTP,3G,VTP0121_PHONEKEO,Vangvieng,6,102.5489,18.8648
KHM,3G,KHM0127_POUNGTAI,Gnommalat,6,104.666093,17.594522
VTP,2G,VTP0275_NAMPHANH,Met,6,101.7849,18.5219
VTP,2G,VTP0240_LONGMARKKHAY,Kasi,3,102.4467,19.2888
VTE,4G,VTE0345_NALIAN,Naxaythong,9,102.5312,18.04656
ATP,4G,ATP0024_HOUAYHOR,SAMAKKHIXAI,6,106.827718,15.081029
VTP,4G,VTP0192_NAMPOUNG,Met,2,102.1129,18.6541
BOK,3G,BOK0098_SITHAT,Tonpheung,3,100.21427,20.34424
VTE,3G,VTE0603_NONGHAI2,Hatxayfong,6,102.643,17.9027
BLK,4G,BLK0067_NAHEUNG,KHAMKERT,2,105.037,18.3291
LNT,2G,LNT0006_NAMDEE,LOUANGNAMTHA,3,101.435146,21.016148
SVN,2G,SVN0032_KM8_MK,Kaisone,1,104.78373,16.60139
KHM,3G,KHM0018_CHUTSUN_KM4,Thakhek,6,104.8371554,17.4087865
VTP,4G,VTP0236_DK61,Kasi,1,102.3147,19.1611
KHM,4G,KHM0043_SIVILAI_NEW,Thakhek,9,104.8260311,17.4248311
SVN,3G,SVN0103_KANGPHOSI,Outhoumphon,4,104.92051,16.73215
VTP,2G,VTP0038_ARMY_SC,Phonhong,3,102.4191,18.3213
PSL,4G,PSL0065_SOMBOUN,Samphan,3,102.24789,21.29589
LNT,2G,LNT0006_NAMDEE,Louang-Namtha,3,101.435146,21.016148
PSL,2G,PSL0031_NGOT_OU,Gnot-Ou,3,101.80054,22.10226
VTE,4G,VTE0348_NAMHOUM,Naxaythong,15,102.46906,18.16255
VTP,3G,VTP0124_PHONSOUNG_HIGHWAY,VANGVIENG,6,102.3981,18.7511
