adate,Prov,Network,BTS,District,Total_Cell,Cell_down,Downtime_hour,Count_downtime,AVG_downhour,Issue,Type,Long,Latt
20230228,SVN,3G,SVN0202_PHONDOK,Champhon,8,0,0,0,0,,Cell,105.19432,16.5873
20230228,CHP,4G,CHP0306_KM10,Bachiangchareunsouk,7,0,0,0,0,,Cell,105.897631,15.118501
20230321,ATP,2G,ATP0050_BANVANGTAD,Sanxai,1,0,0,0,0,,Cell,107.405,14.9727
20230321,PSL,2G,PSL0049_HARDXEUY,KHUA,6,0,0,0,0,,Cell,102.3441,21.08975
20230228,VTP,3G,VTP0296_KONGPHANHNOY,xanakham,4,0,0,0,0,,Cell,101.822408,18.066699
20230321,KHM,4G,KHM0148_HUANAHINBOUN,Hinboun,5,0,0,0,0,,Cell,104.657,17.8512
20230321,BOK,4G,BOK0114_XINWANDA,Tonpheung,15,0,0,0,0,,Cell,100.108108,20.331337
20230321,VTE,4G,VTE0007_BORNANGUA2,Chanthabouri,10,0,0,0,0,,Cell,102.599383,18.009717
20230321,VTE,2G,VTE0249_BUS_STATION,Sisattanak,3,0,0,0,0,,Cell,102.615228,17.96423
20230321,LPB,4G,LPB0213_NAMKHONG_DAM_MAINOFFICE,Chomphet,6,0,0,0,0,,Cell,102.180132,20.065098
20230228,UDX,4G,UDX0141_NAMORNEUA_AMT,Namo,11,0,0,0,0,,Cell,101.732845,20.953376
20230228,VTE,4G,VTE0395_BUSSTATION_SOUTH,Xaithani,10,0,0,0,0,,Cell,102.65848,18.02992
20230228,BOK,3G,BOK0047_BOXIANG4,Tonpheung,6,0,0,0,0,,Cell,100.099768,20.345987
20230321,XKH,4G,XKH0022_NONGNAM,Pek,3,0,0,0,0,,Cell,103.239827,19.466195
20230321,LPB,4G,LPB0141_THAMTING,Pak-Ou,9,0,0,0,0,,Cell,102.21833,20.05366
20230228,KHM,4G,KHM0115_DONGMAKBA,Xebangfai,6,0,0,0,0,,Cell,105.009,17.1825
20230321,VTE,4G,VTE0673_PHONSAWATH,XAISETTHA,3,0,0,0,0,,Cell,102.527457,18.00055
20230228,VTE,4G,VTE0482_NONGVIENGKHAM,XAITHANY,17,0,0,0,0,,Cell,102.64175,18.04931
20230321,SVN,3G,SVN0207_KUTSUNG,Atsaphon,6,0,0,0,0,,Cell,105.30723,16.9044
20230228,PSL,3G,PSL0043_BOUNTAI_LTC,BOUNTAI,8,0,0,0,0,,Cell,101.980858,21.388729
20230321,SVN,4G,SVN0316_BUENGXANG,Xonbouri,6,0,0,0,0,,Cell,105.381912,16.388365
20230321,CHP,4G,CHP0002_NAHEK,Pakxe,3,0,0,0,0,,Cell,105.827011,15.123048
20230321,CHP,4G,CHP0468_NONGSANO,Champasak,3,0,0,0,0,,Cell,105.791708,14.825856
20230228,PSL,2G,PSL0034_PHOUTAXAN,Gnot-Ou,3,0,0,0,0,,Cell,101.842534,22.090598
20230321,BOK,4G,BOK0145_INDOOR_ITS_HUAXIN,Tonpheung,15,0,0,0,0,,Cell,100.106782,20.333126
20230228,BLK,4G,BLK0093_THONGKHAE,KHAMKERT,6,0,0,0,0,,Cell,105.114,18.1509
20230321,BLK,3G,BLK0157_BANDONG,Borikhan,6,0,0,0,0,,Cell,103.6907,18.7429
20230228,VTE,2G,VTE0125_SAMKET,Sikhottabong,3,0,0,0,0,,Cell,102.58453,18.02884
20230228,LPB,3G,LPB0198_HUAYTHAK,Chomphet,2,0,0,0,0,,Cell,101.9594,19.98493
20230228,UDX,4G,UDX0095_KULONG,namo,2,0,0,0,0,,Cell,101.84767,20.83432
20230321,XKH,3G,XKH0016_LARTNGON,Pek,6,0,0,0,0,,Cell,103.116847,19.479222
